precheck_duration,simulation_duration,redis_update_duration,submission_duration,optimistic_submission
130344,36,8431,138813,t
146706,14,7861,154582,t
50044,47,9611,59703,t
61895,31,12192,74119,t
104712,9,99141,203863,t
144486,28,10851,155365,t
129713,21,7425,137160,t
63702,22,7726,71452,t
122504,30,8962,131497,t
107710,26,8713,116450,t
215049,75,11547,226672,t
108462,25,11403,119891,t
141841,20,8726,150588,t
126053,20,7653,133728,t
111781,18,11991,123791,t
130188,24,8584,138797,t
9551,19,6559,16131,t
3266,21,7094,10381,t
4478,12,9063,13554,t
3418,14,7219,10653,t
20882,20,6222,27125,t
16176,34,8851,25063,t
28731,16,7676,36424,t
29579,15,7362,36957,t
32581,25,8698,41305,t
53454,12,8194,61662,t
54346,51,12821,67220,t
38950,14,7918,46883,t
37846,18,8445,46311,t
19753,12,9726,29492,t
41363,12,11144,52521,t
147407,19,7790,155218,t
47008,22,7345,54377,t
3593,22,7568,11185,t
7966,29,19215,27212,t
3663,30,5567,9261,t
3340,19,6339,9699,t
5038,34,8441,13514,t
3670,10,6377,10059,t
7192,12,6077,13282,t
3218,14,6148,9381,t
7153,15,6007,13176,t
22449,18,6275,28743,t
20419,11,5724,26155,t
53711,11,8758,62481,t
51369,23,8124,59516,t
54628,19,8380,63028,t
42085,22,8833,50941,t
119593,18,9447,129059,t
116800,70,7262,124133,t
197323,17,10526,207867,t
194671,27,13874,208573,t
206653,36,31378,238068,t
148724,29,9541,158295,t
235029,15,8987,244032,t
253121,11,9954,263088,t
251066,17,8816,259900,t
227234,8,9899,237143,t
238487,10,8824,247323,t
144786,17,13535,158339,t
136310,22,10881,147215,t
137031,25,9194,146251,t
138915,19,13205,152140,t
151952,20,9616,161589,t
191688,12,18031,209733,t
166862,15,9873,176751,t
165863,10,13378,179252,t
183214,45,12242,195502,t
169539,27,10675,180242,t
193846,30,11687,205564,t
190709,19,20341,211071,t
176507,21,10962,187491,t
180620,14,9603,190238,t
180418,18,10533,190970,t
205787,7,18439,224234,t
193793,15,11211,205020,t
281860,15,15759,297635,t
6211,32,6991,13235,t
113840,21,8489,122351,t
206503,19,13865,220389,t
203792,18,13045,216856,t
354349,15,34774,389140,t
246589,34,89748,336373,t
330765,23,25913,356702,t
356352,29,111791,468173,t
405987,57,303952,709997,t
999554,28,900616,1900200,t
3343,17,5756,9117,t
4175,12,7994,12182,t
2902,29,4388,7321,t
3521,9,5020,8552,t
33827,12,5950,39789,t
20400,18,7014,27434,t
391799,11,198266,590077,t
47323,15,5943,53283,t
46542,22,6843,53408,t
28108,12,6639,34761,t
52789,23,7587,60401,t
74053,32,5998,80084,t
198622,27,8326,206977,t
347443,15,57690,405149,t
403004,24,97662,500691,t