slot,mics
4969842,126902
4969842,128671
4969842,127759
4969842,136603
4969842,141110
4969842,142271
4969842,140430
4969842,142941
4969842,156523
4969842,160784
4969842,157607
4969842,150570
4969842,151841
4969842,152707
4969842,162077
4969842,153541
4969842,260276
4969847,421945
4969847,395034
4969847,509333
4969847,478321
4969847,624381
4969847,323835
4969847,410932
4969847,479587
4969847,402230
4969847,321999
4969847,468163
4969847,1503935
4969858,314844
4969858,123920
4969858,135318
4969858,154407
4969858,228845
4969858,178703
4969858,228722
4969858,186445
4969858,187023
4969858,191881
4969858,356456
4969858,340791
4969858,321656
4969858,326277
4969858,344488
4969862,135060
4969862,127986
4969862,129816
4969862,133336
4969862,144825
4969862,149577
4969862,187345
4969862,268125
4969862,317649
4969862,275296
4969862,270158
4969862,269235
4969862,277670
4969862,279093
4969862,281082
4969862,329856
4969862,376525
4969885,420055
4969885,393661
4969885,405663
4969885,401807
4969885,398785
4969885,270354
4969885,446258
4969885,433607
4969885,321378
4969885,311861
4969885,320624
4969885,320543
4969885,339506
4969887,130583
4969887,137753
4969887,133628
4969887,129402
4969887,138978
4969887,133937
4969887,147545
4969887,252010
4969887,245493
4969887,248177
4969887,251416
4969887,244318
4969887,251330
4969887,253976
4969893,131784
4969893,135318
4969893,138763
4969893,132499
4969893,143559
4969893,141408
4969893,147736
4969893,146291
4969893,134980
4969893,387685
4969893,384796
4969893,313752
4969893,412719
4969893,369982
4969893,396397
4970212,124008
4970212,124264
4970212,125413
4970212,129154
4970212,127448
4970212,128414
4970212,129384
4970212,144182
4970212,276332
4970212,329323
4970212,535147
4970212,321387
4970212,295698
4970212,359309
4970212,321003
4970212,310855
4970244,143681
4970244,143558
4970244,241408
4970244,353767
4970244,248169
4970244,249491
4970244,286749
4970244,247128
4970244,258722
4970244,404355
4970244,269130
4970244,369932
4970244,312904
4970244,332654
4970244,333467
4970265,142213
4970265,126644
4970265,133505
4970265,140458
4970265,128941
4970265,168566
4970265,131208
4970265,142411
4970265,141460
4970265,197204
4970265,135332
4970265,143447
4970265,238111
4970265,142645
4970265,132656
4970265,157697
4970265,136203
4970265,159450
4970282,178988
4970282,131112
4970282,139291
4970282,147523
4970282,147736
4970282,153659
4970282,154771
4970282,155500
4970282,182495
4970282,183224
4970282,192297
4970282,187767
4970282,183801
4970282,197513
4970282,182604
4970282,186038
4970282,180353
4970287,161357
4970287,163926
4970287,166766
4970287,170955
4970287,178544
4970287,177163
4970287,174835
4970287,175264
4970287,179506
4970287,242312
4970287,261748
4970287,249428
4970287,235210
4970287,205673
4970287,484396
4970287,215873
4970295,122892
4970295,127423
4970295,122383
4970295,123177
4970295,126268
4970295,124636
4970295,124577
4970295,126668
4970295,126766
4970295,129604
4970295,126009
4970295,133700
4970295,127872
4970295,130844
4970295,128253
4970295,129511
4970295,129655
4970295,141898